ID,Length_nm,Height_nm,AspectRatio,Solidity_%,Area 3D_nm2,Area 2D_nm2,Group,ImageName
12,128.90625,4.56610148594512,28.2311399334389,91.5369649805447,8686.41355085474,2916.57447814941,isolated,0603.jpk_height
13,64.453125,2.56514375103621,25.1265158040222,93.7702640111163,2527.14798636966,965.356826782227,isolated,0603.jpk_height
1,102.05078125,3.82557433152046,26.6759373642703,91.7262405382675,5576.42197093721,2080.20210266113,lateral,0603.jpk_height
2,129.39453125,4.15880829901656,31.1133675674827,91.9326077599459,9690.95781613967,3564.59617614746,lateral,0603.jpk_height
3,96.6796875,4.64402951792006,20.8180605069238,90.0129143349118,4371.60796479157,2492.66624450684,lateral,0603.jpk_height
4,200.1953125,5.47495798773005,36.5656344667225,94.479110707054,9994.28981926322,5450.96397399902,lateral,0603.jpk_height
5,83.984375,2.00988455280806,41.7856711633827,86.0780065005417,4586.87953464215,1515.38848876953,lateral,0603.jpk_height
1,86.9140625,2.94798750598527,29.4825070742461,95.949056314255,4371.22928133328,1490.83137512207,isolated,0604.jpk_height
2,74.70703125,1.61753912774709,46.1856099605157,92.0904945633111,3391.8222540688,1251.9359588623,isolated,0604.jpk_height
3,81.0546875,3.07180757307644,26.3866422527317,93.6485623003195,2826.66133042144,1747.13134765625,isolated,0604.jpk_height
4,79.1015625,2.774958385386,28.5054950433056,92.9357167411482,3724.50440680129,1289.12925720215,isolated,0604.jpk_height
5,38.0859375,1.12677030315697,33.8009773538506,94.4921677614957,965.448639421781,445.842742919922,isolated,0604.jpk_height
6,40.52734375,1.98692995078402,20.3969665533545,96.4542000844238,924.258375188089,544.78645324707,isolated,0604.jpk_height
7,74.70703125,3.07912772918526,24.2624008552472,96.8635363169479,2848.11131397461,1259.08851623535,isolated,0604.jpk_height
8,92.7734375,3.13393960132064,29.6028160405214,92.7741283476503,4922.92112977053,1750.94604492188,isolated,0604.jpk_height
9,71.2890625,4.09883719993298,17.392508905005,95.319543887563,3409.29065967711,1713.99116516113,isolated,0604.jpk_height
10,113.28125,3.0844251402353,36.7268599008236,86.9193026411943,7426.91428597087,1985.07308959961,isolated,0604.jpk_height
11,91.30859375,2.95415889681953,30.9084910254163,95.9373959373959,2489.44928073024,1373.7678527832,isolated,0604.jpk_height
